DESCRIPTION;Resultaten HAN Dynamic Model Heat Built Environment;;;;;;;;
CHAIN-NR;1;;;;;;;;
DESIGNATION;;2R2C-1- zone;;;;2R2C-1- zone;;;
NODE-NR;0;1;;;;2;;;
DESIGNATION;Outside temperature;Internals;;;;Load_bearing_construiction;;;
TIMESTEP;TEMPERATURE (GRADEN C);TEMPERATURE (GRADEN C);SOLAR (J);SOURCES (J);HEATING (J);TEMPERATURE;SOLAR;SOURCES;HEATING
0;4.593145207;20;8.73E+06;3.46E+07;1.13E+09;20;1.75E+06;6.91E+06;2.26E+08
168;4.030895769;20;9.02E+06;3.46E+07;1.20E+09;20;1.80E+06;6.91E+06;2.39E+08
336;3.584853816;20;9.48E+06;3.46E+07;1.25E+09;20;1.90E+06;6.91E+06;2.50E+08
504;3.261523643;20;1.01E+07;3.46E+07;1.29E+09;20;2.03E+06;6.91E+06;2.58E+08
672;3.065620133;20;1.09E+07;3.46E+07;1.31E+09;20;2.19E+06;6.91E+06;2.62E+08
840;3;20;1.19E+07;3.46E+07;1.32E+09;20;2.38E+06;6.91E+06;2.64E+08
1008;3.065620133;20;1.30E+07;3.46E+07;1.31E+09;20;2.60E+06;6.91E+06;2.62E+08
1176;3.261523643;20;1.42E+07;3.46E+07;1.29E+09;20;2.85E+06;6.91E+06;2.58E+08
1344;3.584853816;20;1.56E+07;3.46E+07;1.25E+09;20;3.12E+06;6.91E+06;2.50E+08
1512;4.030895769;20;1.70E+07;3.46E+07;1.20E+09;20;3.40E+06;6.91E+06;2.39E+08
1680;4.593145207;20;1.85E+07;3.46E+07;1.13E+09;20;3.70E+06;6.91E+06;2.26E+08
1848;5.263403266;20;2.00E+07;3.46E+07;1.05E+09;20;4.01E+06;6.91E+06;2.10E+08
2016;6.031896076;20;2.16E+07;3.46E+07;9.56E+08;20;4.32E+06;6.91E+06;1.91E+08
2184;6.887417279;20;2.32E+07;3.46E+07;8.54E+08;20;4.63E+06;6.91E+06;1.71E+08
2352;7.817491452;20;2.47E+07;3.46E+07;7.42E+08;20;4.94E+06;6.91E+06;1.48E+08
2520;8.808556017;20;2.62E+07;3.46E+07;6.23E+08;20;5.24E+06;6.91E+06;1.25E+08
2688;9.846159021;20;2.76E+07;3.46E+07;4.99E+08;20;5.53E+06;6.91E+06;9.97E+07
2856;10.91516988;20;2.90E+07;3.46E+07;3.70E+08;20;5.79E+06;6.91E+06;7.40E+07
3024;12;20;3.02E+07;3.46E+07;2.40E+08;20;6.04E+06;6.91E+06;4.80E+07
3192;13.08483012;20;3.13E+07;3.46E+07;1.10E+08;20;6.26E+06;6.91E+06;2.20E+07
3360;14.15384098;20;3.23E+07;3.46E+07;0.00E+00;20;6.45E+06;6.91E+06;0.00E+00
3528;15.19144398;20;3.31E+07;3.46E+07;0.00E+00;20;6.62E+06;6.91E+06;0.00E+00
3696;16.18250855;20;3.37E+07;3.46E+07;0.00E+00;20;6.74E+06;6.91E+06;0.00E+00
3864;17.11258272;20;3.42E+07;3.46E+07;0.00E+00;20;6.84E+06;6.91E+06;0.00E+00
4032;17.96810392;20;3.45E+07;3.46E+07;0.00E+00;20;6.89E+06;6.91E+06;0.00E+00
4200;18.73659673;20;3.46E+07;3.46E+07;0.00E+00;20;6.91E+06;6.91E+06;0.00E+00
4368;19.40685479;20;3.45E+07;3.46E+07;0.00E+00;20;6.89E+06;6.91E+06;0.00E+00
4536;19.96910423;20;3.42E+07;3.46E+07;0.00E+00;20;6.84E+06;6.91E+06;0.00E+00
4704;20.41514618;20;3.37E+07;3.46E+07;0.00E+00;20;6.74E+06;6.91E+06;0.00E+00
4872;20.73847636;20;3.31E+07;3.46E+07;0.00E+00;20;6.62E+06;6.91E+06;0.00E+00
5040;20.93437987;20;3.23E+07;3.46E+07;0.00E+00;20;6.45E+06;6.91E+06;0.00E+00
5208;21;20;3.13E+07;3.46E+07;0.00E+00;20;6.26E+06;6.91E+06;0.00E+00
5376;20.93437987;20;3.02E+07;3.46E+07;0.00E+00;20;6.04E+06;6.91E+06;0.00E+00
5544;20.73847636;20;2.90E+07;3.46E+07;0.00E+00;20;5.79E+06;6.91E+06;0.00E+00
5712;20.41514618;20;2.76E+07;3.46E+07;0.00E+00;20;5.53E+06;6.91E+06;0.00E+00
5880;19.96910423;20;2.62E+07;3.46E+07;0.00E+00;20;5.24E+06;6.91E+06;0.00E+00
6048;19.40685479;20;2.47E+07;3.46E+07;0.00E+00;20;4.94E+06;6.91E+06;0.00E+00
6216;18.73659673;20;2.32E+07;3.46E+07;0.00E+00;20;4.63E+06;6.91E+06;0.00E+00
6384;17.96810392;20;2.16E+07;3.46E+07;0.00E+00;20;4.32E+06;6.91E+06;0.00E+00
6552;17.11258272;20;2.00E+07;3.46E+07;0.00E+00;20;4.01E+06;6.91E+06;0.00E+00
6720;16.18250855;20;1.85E+07;3.46E+07;0.00E+00;20;3.70E+06;6.91E+06;0.00E+00
6888;15.19144398;20;1.70E+07;3.46E+07;0.00E+00;20;3.40E+06;6.91E+06;0.00E+00
7056;14.15384098;20;1.56E+07;3.46E+07;0.00E+00;20;3.12E+06;6.91E+06;0.00E+00
7224;13.08483012;20;1.42E+07;3.46E+07;1.10E+08;20;2.85E+06;6.91E+06;2.20E+07
7392;12;20;1.30E+07;3.46E+07;2.40E+08;20;2.60E+06;6.91E+06;4.80E+07
7560;10.91516988;20;1.19E+07;3.46E+07;3.70E+08;20;2.38E+06;6.91E+06;7.40E+07
7728;9.846159021;20;1.09E+07;3.46E+07;4.99E+08;20;2.19E+06;6.91E+06;9.97E+07
7896;8.808556017;20;1.01E+07;3.46E+07;6.23E+08;20;2.03E+06;6.91E+06;1.25E+08
8064;7.817491452;20;9.48E+06;3.46E+07;7.42E+08;20;1.90E+06;6.91E+06;1.48E+08
8232;6.887417279;20;9.02E+06;3.46E+07;8.54E+08;20;1.80E+06;6.91E+06;1.71E+08
8400;6.031896076;20;8.73E+06;3.46E+07;9.56E+08;20;1.75E+06;6.91E+06;1.91E+08
8568;5.263403266;20;8.64E+06;3.46E+07;1.05E+09;20;1.73E+06;6.91E+06;2.10E+08
8736;4.593145207;20;8.73E+06;3.46E+07;1.13E+09;20;1.75E+06;6.91E+06;2.26E+08
